oracID_x,tipo_x,palabra_x,palNum,pred_x,logit_pred_x,nCompletadas_x,oracID_y,oracID_orig,tipo_y,palabra_y,pred_y,logit_pred_y,nCompletadas_y
60,1,Papá,0,,,,280,60,1,Papá,,,
60,1,me,1,0.21621621621621626,-0.5593080109070125,37.0,280,60,1,me,0.3055555555555556,-0.3565473235138125,36.0
60,1,explicó,2,0.027027027027027032,-1.5563025007672873,37.0,280,60,1,explicó,0.0,-1.8512583487190752,36.0
60,1,que,3,0.945945945945946,1.2430380486862944,37.0,280,60,1,que,0.8333333333333334,0.698970004336019,36.0
60,1,a,4,0.0,-1.863322860120456,37.0,280,60,1,a,0.027777777777777776,-1.5440680443502757,36.0
60,1,caballo,5,0.054054054054054064,-1.2430380486862944,37.0,280,60,1,caballo,0.027777777777777776,-1.5440680443502757,36.0
60,1,regalado,6,0.7837837837837838,0.5593080109070124,37.0,280,60,1,regalado,0.9166666666666666,1.041392685158225,36.0
60,1,no,7,0.972972972972973,1.5563025007672882,37.0,280,60,1,no,0.9722222222222222,1.5440680443502754,36.0
60,1,se,8,0.9189189189189191,1.054357662322593,37.0,280,60,1,se,1.0,1.8512583487190768,36.0
60,1,le,9,0.945945945945946,1.2430380486862944,37.0,280,60,1,le,1.0,1.8512583487190768,36.0
60,1,miran,10,0.8918918918918919,0.9164539485499252,37.0,280,60,1,miran,1.0,1.8512583487190768,36.0
60,1,los,11,0.8648648648648649,0.8061799739838874,37.0,280,60,1,los,1.0,1.8512583487190768,36.0
60,1,dientes,12,0.8918918918918919,0.9164539485499252,37.0,280,60,1,dientes,0.9722222222222222,1.5440680443502754,36.0
61,1,Se,0,,,,281,61,1,Se,,,
61,1,conforma,1,0.0,-1.8976270912904412,40.0,281,61,1,conforma,0.0,-1.7853298350107671,31.0
61,1,pensando,2,0.025,-1.5910646070264989,40.0,281,61,1,pensando,0.0,-1.7853298350107671,31.0
61,1,que,3,0.725,0.4210053127407311,40.0,281,61,1,que,0.4838709677419355,-0.02802872360024354,31.0
61,1,más,4,0.0,-1.8976270912904412,40.0,281,61,1,más,0.0,-1.7853298350107671,31.0
61,1,vale,5,0.425,-0.1312789146393189,40.0,281,61,1,vale,0.3225806451612903,-0.32221929473391936,31.0
61,1,pájaro,6,0.625,0.2218487496163564,40.0,281,61,1,pájaro,0.6451612903225806,0.2596373105057561,31.0
61,1,en,7,0.95,1.2787536009528286,40.0,281,61,1,en,0.8709677419354839,0.829303772831025,31.0
61,1,mano,8,0.975,1.5910646070264989,40.0,281,61,1,mano,0.9032258064516128,0.9700367766225566,31.0
61,1,que,9,1.0,1.8976270912904432,40.0,281,61,1,que,1.0,1.7853298350107674,31.0
61,1,cien,10,0.75,0.4771212547196624,40.0,281,61,1,cien,0.7096774193548387,0.3881801713828815,31.0
61,1,volando,11,0.9,0.9542425094393249,40.0,281,61,1,volando,0.8709677419354839,0.829303772831025,31.0
62,1,Y,0,,,,282,62,1,Y,,,
62,1,yo,1,0.05555555555555555,-1.230448921378274,36.0,282,62,1,yo,0.0,-1.7708520116421442,30.0
62,1,le,2,0.25,-0.4771212547196625,36.0,282,62,1,le,0.36666666666666653,-0.2373609157946039,30.0
62,1,recomendé:,3,0.0,-1.8512583487190752,36.0,282,62,1,recomendé:,0.0,-1.7708520116421442,30.0
62,1,Haz,4,0.0,-1.8512583487190752,36.0,282,62,1,Haz,0.0,-1.7708520116421442,30.0
62,1,el,5,0.1388888888888889,-0.7923916894982539,36.0,282,62,1,el,0.03333333333333333,-1.4623979978989559,30.0
62,1,bien,6,0.4444444444444444,-0.09691001300805643,36.0,282,62,1,bien,0.36666666666666653,-0.2373609157946039,30.0
62,1,sin,7,0.6111111111111112,0.19629464514396835,36.0,282,62,1,sin,0.3,-0.3679767852945944,30.0
62,1,mirar,8,0.6944444444444444,0.3565473235138125,36.0,282,62,1,mirar,0.36666666666666653,-0.2373609157946039,30.0
62,1,a,9,0.8888888888888888,0.9030899869919432,36.0,282,62,1,a,0.6666666666666666,0.30102999566398114,30.0
62,1,quién,10,0.8888888888888888,0.9030899869919432,36.0,282,62,1,quién,0.5,0.0,30.0
63,1,Ella,0,,,,283,63,1,Ella,,,
63,1,comprendió,1,0.0,-1.7993405494535817,32.0,283,63,1,comprendió,0.0,-1.7242758696007892,27.0
63,1,que,2,0.875,0.8450980400142568,32.0,283,63,1,que,0.8,0.6020599913279625,25.0
63,1,hay,3,0.0,-1.7993405494535817,32.0,283,63,1,hay,0.0,-1.6901960800285136,25.0
63,1,que,4,0.65625,0.2808266095756942,32.0,283,63,1,que,0.4,-0.17609125905568118,25.0
63,1,pensar,5,0.0,-1.7993405494535817,32.0,283,63,1,pensar,0.04,-1.3802112417116061,25.0
63,1,antes,6,0.25,-0.4771212547196625,32.0,283,63,1,antes,0.08,-1.0606978403536118,25.0
63,1,de,7,0.90625,0.9852767431792936,32.0,283,63,1,de,1.0,1.6901960800285132,25.0
63,1,hablar,8,0.375,-0.2218487496163564,32.0,283,63,1,hablar,0.28,-0.4101744650890492,25.0
64,1,Con,0,,,,284,64,1,Con,,,
64,1,orgullo,1,0.0,-1.8512583487190752,36.0,284,64,1,orgullo,0.0,-1.7853298350107671,31.0
64,1,Gerardo,2,0.0,-1.8512583487190752,36.0,284,64,1,Gerardo,0.0,-1.7853298350107671,31.0
64,1,concluyó:,3,0.0,-1.8512583487190752,36.0,284,64,1,concluyó:,0.0,-1.7853298350107671,31.0
64,1,Hombre,4,0.0,-1.8512583487190752,36.0,284,64,1,Hombre,0.0,-1.7853298350107671,31.0
64,1,prevenido,5,0.05555555555555555,-1.230448921378274,36.0,284,64,1,prevenido,0.06451612903225806,-1.1613680022349748,31.0
64,1,vale,6,0.7222222222222222,0.41497334797081786,36.0,284,64,1,vale,0.5161290322580645,0.02802872360024353,31.0
64,1,por,7,0.8055555555555556,0.6172999578846993,36.0,284,64,1,por,0.4516129032258064,-0.08432088570003586,31.0
64,1,dos,8,0.7777777777777778,0.5440680443502757,36.0,284,64,1,dos,0.6129032258064516,0.19957235490520414,31.0
65,1,Ellos,0,,,,285,65,1,Ellos,,,
65,1,le,1,0.023809523809523808,-1.6127838567197357,42.0,285,65,1,le,0.0,-1.7993405494535817,32.0
65,1,advirtieron,2,0.0,-1.919078092376074,42.0,285,65,1,advirtieron,0.0,-1.7993405494535817,32.0
65,1,que,3,0.7619047619047619,0.5051499783199058,42.0,285,65,1,que,0.8125,0.6368220975871743,32.0
65,1,en,4,0.0,-1.919078092376074,42.0,285,65,1,en,0.0,-1.7993405494535817,32.0
65,1,boca,5,0.0,-1.919078092376074,42.0,285,65,1,boca,0.0,-1.7993405494535817,32.0
65,1,cerrada,6,0.42857142857142855,-0.12493873660829992,42.0,285,65,1,cerrada,0.125,-0.8450980400142569,32.0
65,1,no,7,0.9761904761904762,1.612783856719735,42.0,285,65,1,no,0.90625,0.9852767431792936,32.0
65,1,entran,8,0.9047619047619048,0.9777236052888476,42.0,285,65,1,entran,0.6875,0.3424226808222063,32.0
65,1,moscas,9,0.9523809523809524,1.3010299956639806,42.0,285,65,1,moscas,0.8125,0.6368220975871743,32.0
66,1,Se,0,,,,286,66,1,Se,,,
66,1,negó,1,0.0,-1.740362689494244,28.0,286,66,1,negó,0.0,-1.7242758696007892,27.0
66,1,argumentando,2,0.0,-1.740362689494244,28.0,286,66,1,argumentando,0.0,-1.7075701760979365,26.0
66,1,que,3,0.9642857142857144,1.4313637641589876,28.0,286,66,1,que,0.8461538461538461,0.7403626894942439,26.0
66,1,no,4,0.14285714285714285,-0.7781512503836436,28.0,286,66,1,no,0.4230769230769231,-0.13469857389745615,26.0
66,1,por,5,0.0,-1.740362689494244,28.0,286,66,1,por,0.0,-1.7075701760979365,26.0
66,1,mucho,6,0.5,0.0,28.0,286,66,1,mucho,0.07692307692307693,-1.0791812460476249,26.0
66,1,madrugar,7,0.5357142857142857,0.06214790674884444,28.0,286,66,1,madrugar,0.2307692307692308,-0.5228787452803375,26.0
66,1,amanece,8,0.35714285714285715,-0.255272505103306,28.0,286,66,1,amanece,0.1153846153846154,-0.8846065812979303,26.0
66,1,más,9,0.7857142857142857,0.5642714304385625,28.0,286,66,1,más,0.5769230769230769,0.1346985738974561,26.0
66,1,temprano,10,0.9642857142857144,1.4313637641589876,28.0,286,66,1,temprano,0.8461538461538461,0.7403626894942439,26.0
67,1,José,0,,,,287,67,1,José,,,
67,1,lo,1,0.0,-1.8750612633917,38.0,287,67,1,lo,0.0,-1.7708520116421442,30.0
67,1,convenció,2,0.0,-1.8750612633917,38.0,287,67,1,convenció,0.0,-1.7558748556724917,29.0
67,1,diciéndole:,3,0.02631578947368421,-1.568201724066995,38.0,287,67,1,diciéndole:,0.0,-1.7558748556724917,29.0
67,1,No,4,0.2368421052631579,-0.5081554884596313,38.0,287,67,1,No,0.06896551724137931,-1.1303337684950059,29.0
67,1,dejes,5,0.0,-1.8750612633917,38.0,287,67,1,dejes,0.10344827586206896,-0.9378520932511556,29.0
67,1,para,6,0.3157894736842105,-0.3357921019231932,38.0,287,67,1,para,0.3793103448275862,-0.21387981994508107,29.0
67,1,mañana,7,0.9210526315789472,1.0669467896306128,38.0,287,67,1,mañana,0.8620689655172413,0.795880017344075,29.0
67,1,lo,8,0.9473684210526316,1.2552725051033056,38.0,287,67,1,lo,1.0,1.7558748556724906,29.0
67,1,que,9,0.9736842105263158,1.5682017240669954,38.0,287,67,1,que,0.9310344827586208,1.130333768495006,29.0
67,1,puedas,10,0.42105263157894735,-0.13830269816628152,38.0,287,67,1,puedas,0.27586206896551724,-0.4191293077419757,29.0
67,1,hacer,11,0.9736842105263158,1.5682017240669954,38.0,287,67,1,hacer,0.9655172413793104,1.44715803134222,29.0
67,1,hoy,12,0.9473684210526316,1.2552725051033056,38.0,287,67,1,hoy,1.0,1.7558748556724906,29.0
68,1,Para,0,,,,288,68,1,Para,,,
68,1,consolarla,1,0.0,-1.8976270912904412,40.0,288,68,1,consolarla,0.0,-1.8750612633917,38.0
68,1,dijo:,2,0.025,-1.5910646070264989,40.0,288,68,1,dijo:,0.02631578947368421,-1.568201724066995,38.0
68,1,No,3,0.4,-0.17609125905568118,40.0,288,68,1,No,0.42105263157894735,-0.13830269816628152,38.0
68,1,hay,4,0.125,-0.8450980400142569,40.0,288,68,1,hay,0.15789473684210525,-0.7269987279362623,38.0
