id_orac_online,tipo_orac,tipo_orac_new,palabra,palNum,pred,logit_pred,nCompletadas
32,0,0,yo,3,0.07692307692307693,-1.0791812460476249,13.0
32,0,0,digo,4,0.5384615384615384,0.06694678963061314,13.0
32,0,0,mas,5,0.23076923076923078,-0.5228787452803375,13.0
32,0,0,no,6,0.9230769230769231,1.079181246047625,13.0
32,0,0,lo,7,0.8461538461538461,0.7403626894942439,13.0
32,0,0,que,8,0.8461538461538461,0.7403626894942439,13.0
32,0,0,yo,9,0.8461538461538461,0.7403626894942439,13.0
32,0,0,hago,10,0.8461538461538461,0.7403626894942439,13.0
33,0,0,Cuentas,0,,,
33,0,0,claras,1,0.75,0.47712125471966244,12.0
33,0,0,conservan,2,0.5833333333333334,0.14612803567823807,12.0
33,0,0,la,3,0.8333333333333334,0.698970004336019,12.0
33,0,0,amistad,4,0.9166666666666666,1.041392685158225,12.0
34,0,0,Hablando,0,,,
34,0,0,de,1,0.7272727272727273,0.42596873227228116,11.0
34,0,0,Roma,2,0.6363636363636364,0.24303804868629442,11.0
34,0,0,el,3,0.8181818181818182,0.6532125137753438,11.0
34,0,0,burro,4,0.7272727272727273,0.42596873227228116,11.0
34,0,0,se,5,0.7272727272727273,0.42596873227228116,11.0
34,0,0,asoma,6,0.9090909090909091,0.9999999999999998,11.0
35,0,0,Mejor,0,,,
35,0,0,solo,1,0.0,-1.3617278360175928,12.0
35,0,0,que,2,0.8333333333333334,0.698970004336019,12.0
35,0,0,mal,3,0.8333333333333334,0.698970004336019,12.0
35,0,0,acompañado,4,1.0,1.3617278360175933,12.0
36,0,0,El,0,,,
36,0,0,diablo,1,0.0,-1.3617278360175928,12.0
36,0,0,sabe,2,0.6666666666666666,0.30102999566398114,12.0
36,0,0,más,3,0.0,-1.3617278360175928,12.0
36,0,0,por,4,0.6666666666666666,0.30102999566398114,12.0
36,0,0,viejo,5,0.5833333333333334,0.14612803567823807,12.0
36,0,0,que,6,0.8333333333333334,0.698970004336019,12.0
36,0,0,por,7,0.75,0.47712125471966244,12.0
36,0,0,diablo,8,0.8333333333333334,0.698970004336019,12.0
37,0,0,El,0,,,
37,0,0,que,1,0.4166666666666667,-0.14612803567823793,12.0
37,0,0,a,2,0.0,-1.3617278360175928,12.0
37,0,0,hierro,3,0.3333333333333333,-0.30102999566398125,12.0
