id_orac,id_orac_online,tipo_orac_x,palabra_x,palNum,pred_x,logit_pred_x,nCompletadas_x,tipo_orac_y,tipo_orac_new,palabra_y,pred_y,logit_pred_y,nCompletadas_y
70,63.0,1,Andes,4,0.944444444444444,1.41660667202811,18,1,1,Andes,1.0,1.3617278360175933,12.0
70,63.0,1,a,5,0.5,0.0,18,1,1,a,0.3333333333333333,-0.30102999566398125,12.0
70,63.0,1,caballo.,6,0.833333333333333,0.8047189562170501,18,1,1,caballo,0.8333333333333334,0.698970004336019,12.0
71,102.0,2,A,0,0.0555555555555556,-1.41660667202811,18,2,1,A,,,
71,102.0,2,Miguel,1,0.0,-1.77767403074471,18,2,1,Miguel,0.0,-1.3617278360175928,12.0
71,102.0,2,le,2,0.6111111111111109,0.225992561871529,18,2,1,le,0.75,0.4771212547196624,12.0
71,102.0,2,entregaron,3,0.0,-1.77767403074471,18,2,1,entregaron,0.0,-1.3617278360175928,12.0
71,102.0,2,ayer,4,0.0,-1.77767403074471,18,2,1,ayer,0.0,-1.3617278360175928,12.0
71,102.0,2,el,5,0.33333333333333304,-0.346573590279973,18,2,1,el,0.16666666666666666,-0.6989700043360189,12.0
71,102.0,2,auto,6,0.222222222222222,-0.6263814842476839,18,2,1,auto,0.16666666666666666,-0.6989700043360189,12.0
71,102.0,2,nuevo.,7,0.5,0.0,18,2,1,nuevo,0.8333333333333334,0.698970004336019,12.0
72,64.0,1,A,0,0.222222222222222,-0.6263814842476839,18,1,1,A,,,
72,64.0,1,Rómulo,1,0.0,-1.77767403074471,18,1,1,Rómulo,0.0,-1.3617278360175928,12.0
72,64.0,1,y,2,0.444444444444444,-0.111571775657105,18,1,1,y,0.5,0.0,12.0
72,64.0,1,a,3,0.111111111111111,-1.03972077083992,18,1,1,a,0.0,-1.3617278360175928,12.0
72,64.0,1,Remo,4,0.8888888888888891,1.03972077083992,18,1,1,Remo,0.9166666666666666,1.041392685158225,12.0
72,64.0,1,los,5,0.6111111111111109,0.225992561871529,18,1,1,los,0.8333333333333334,0.698970004336019,12.0
72,64.0,1,alimentó,6,0.166666666666667,-0.8047189562170501,18,1,1,alimentó,0.4166666666666667,-0.14612803567823793,12.0
72,64.0,1,una,7,1.0,1.77767403074471,18,1,1,una,0.9166666666666666,1.041392685158225,12.0
72,64.0,1,loba.,8,0.944444444444444,1.41660667202811,18,1,1,loba,0.9166666666666666,1.041392685158225,12.0
73,103.0,2,Elisa,0,0.0,-1.77767403074471,18,2,1,Elisa,,,
73,103.0,2,nunca,1,0.0,-1.77767403074471,18,2,1,nunca,0.0,-1.3617278360175928,12.0
73,103.0,2,supo,2,0.111111111111111,-1.03972077083992,18,2,1,supo,0.0,-1.3617278360175928,12.0
73,103.0,2,cómo,3,0.0555555555555556,-1.41660667202811,18,2,1,cómo,0.0,-1.3617278360175928,12.0
73,103.0,2,resolver,4,0.0,-1.77767403074471,18,2,1,resolver,0.0,-1.3617278360175928,12.0
73,103.0,2,el,5,0.444444444444444,-0.111571775657105,18,2,1,el,0.6666666666666666,0.30102999566398114,12.0
73,103.0,2,problema.,6,0.8888888888888891,1.03972077083992,18,2,1,problema,0.9166666666666666,1.041392685158225,12.0
74,28.0,0,Sobre,0,0.0,-1.77767403074471,18,0,0,Sobre,,,
74,28.0,0,gustos,1,0.166666666666667,-0.8047189562170501,18,0,0,gustos,0.08333333333333333,-1.041392685158225,12.0
74,28.0,0,no,2,1.0,1.77767403074471,18,0,0,no,1.0,1.3617278360175933,12.0
74,28.0,0,hay,3,1.0,1.77767403074471,18,0,0,hay,1.0,1.3617278360175933,12.0
74,28.0,0,nada,4,1.0,1.77767403074471,18,0,0,nada,1.0,1.3617278360175933,12.0
74,28.0,0,escrito.,5,0.8888888888888891,1.03972077083992,18,0,0,escrito,1.0,1.3617278360175933,12.0
76,104.0,2,Ayer,0,0.0,-1.77767403074471,18,2,1,Ayer,,,
76,104.0,2,charlamos,1,0.0555555555555556,-1.41660667202811,18,2,1,charlamos,0.0,-1.3617278360175928,12.0
76,104.0,2,con,2,0.222222222222222,-0.6263814842476839,18,2,1,con,0.25,-0.4771212547196625,12.0
76,104.0,2,Laura,3,0.0,-1.77767403074471,18,2,1,Laura,0.0,-1.3617278360175928,12.0
76,104.0,2,sobre,4,0.6111111111111109,0.225992561871529,18,2,1,sobre,0.3333333333333333,-0.30102999566398125,12.0
76,104.0,2,su,5,0.222222222222222,-0.6263814842476839,18,2,1,su,0.0,-1.3617278360175928,12.0
76,104.0,2,hija.,6,0.0,-1.77767403074471,18,2,1,hija,0.0,-1.3617278360175928,12.0
77,29.0,0,Dime,0,0.0,-1.77767403074471,18,0,0,Dime,,,
77,29.0,0,con,1,0.666666666666667,0.346573590279973,18,0,0,con,0.6666666666666666,0.30102999566398114,12.0
77,29.0,0,quién,2,1.0,1.77767403074471,18,0,0,quién,0.9166666666666666,1.041392685158225,12.0
77,29.0,0,andas,3,1.0,1.77767403074471,18,0,0,andas,0.9166666666666666,1.041392685158225,12.0
77,29.0,0,y,4,1.0,1.77767403074471,18,0,0,y,0.9166666666666666,1.041392685158225,12.0
77,29.0,0,te,5,1.0,1.77767403074471,18,0,0,te,0.9166666666666666,1.041392685158225,12.0
77,29.0,0,diré,6,1.0,1.77767403074471,18,0,0,diré,0.8333333333333334,0.698970004336019,12.0
77,29.0,0,quién,7,1.0,1.77767403074471,18,0,0,quién,0.8333333333333334,0.698970004336019,12.0
77,29.0,0,eres.,8,0.944444444444444,1.41660667202811,18,0,0,eres,1.0,1.3617278360175933,12.0
79,65.0,1,Ser,0,0.0,-1.77767403074471,18,1,1,Ser,,,
79,65.0,1,o,1,0.555555555555556,0.111571775657105,18,1,1,o,0.25,-0.4771212547196625,12.0
79,65.0,1,no,2,1.0,1.77767403074471,18,1,1,no,0.9166666666666666,1.041392685158225,12.0
