id_orac,id_orac_online,tipo_orac,palabra,palNum,pred,logit_pred,nCompletadas
20,13,0,hambre,2,0.33333333333333304,-0.346573590279973,18
20,13,0,no,3,0.8888888888888891,1.03972077083992,18
20,13,0,hay,4,1.0,1.7776740307447099,18
20,13,0,pan,5,0.944444444444444,1.41660667202811,18
20,13,0,duro.,6,0.8888888888888891,1.03972077083992,18
21,91,2,Javier,0,0.0,-1.7776740307447099,18
21,91,2,tiene,1,0.0555555555555556,-1.41660667202811,18
21,91,2,amigos,2,0.0,-1.7776740307447099,18
21,91,2,que,3,0.0555555555555556,-1.41660667202811,18
21,91,2,son,4,0.444444444444444,-0.111571775657105,18
21,91,2,muy,5,0.38888888888888895,-0.225992561871529,18
21,91,2,raros.,6,0.0,-1.7776740307447099,18
22,14,0,Dios,0,0.0,-1.7776740307447099,18
22,14,0,le,1,0.0,-1.7776740307447099,18
22,14,0,da,2,0.666666666666667,0.346573590279973,18
22,14,0,pan,3,0.7777777777777779,0.6263814842476839,18
22,14,0,a,4,0.38888888888888895,-0.225992561871529,18
22,14,0,quien,5,0.555555555555556,0.111571775657105,18
22,14,0,no,6,0.8888888888888891,1.03972077083992,18
22,14,0,tiene,7,0.944444444444444,1.41660667202811,18
22,14,0,dientes.,8,0.8888888888888891,1.03972077083992,18
23,52,1,Todos,0,0.0555555555555556,-1.41660667202811,18
23,52,1,los,1,0.6111111111111109,0.225992561871529,18
23,52,1,caminos,2,0.0555555555555556,-1.41660667202811,18
23,52,1,conducen,3,0.7222222222222221,0.47775572251371795,18
23,52,1,a,4,1.0,1.7776740307447099,18
23,52,1,Roma.,5,0.944444444444444,1.41660667202811,18
24,,2,Javier,0,0.0,-1.7776740307447099,18
24,,2,consiguió,1,0.0,-1.7776740307447099,18
24,,2,trabajo,2,0.0,-1.7776740307447099,18
24,,2,en,3,0.7222222222222221,0.47775572251371795,18
24,,2,una,4,0.38888888888888895,-0.225992561871529,18
24,,2,empresa,5,0.5,0.0,18
24,,2,internacional.,6,0.0,-1.7776740307447099,18
25,,0,Por,0,0.0,-1.7776740307447099,18
25,,0,la,1,0.0555555555555556,-1.41660667202811,18
25,,0,boca,2,0.0555555555555556,-1.41660667202811,18
25,,0,muere,3,0.666666666666667,0.346573590279973,18
25,,0,el,4,0.944444444444444,1.41660667202811,18
25,,0,pez.,5,0.8888888888888891,1.03972077083992,18
26,53,1,En,0,0.111111111111111,-1.03972077083992,18
26,53,1,Alemania,1,0.0,-1.7776740307447099,18
26,53,1,tiraron,2,0.0,-1.7776740307447099,18
26,53,1,el,3,0.222222222222222,-0.6263814842476839,18
26,53,1,muro,4,0.666666666666667,0.346573590279973,18
26,53,1,de,5,0.944444444444444,1.41660667202811,18
26,53,1,Berlín.,6,1.0,1.7776740307447099,18
27,92,2,Jorge,0,0.0,-1.7776740307447099,18
27,92,2,consiguió,1,0.0555555555555556,-1.41660667202811,18
27,92,2,una,2,0.111111111111111,-1.03972077083992,18
27,92,2,beca,3,0.111111111111111,-1.03972077083992,18
27,92,2,para,4,0.6111111111111109,0.225992561871529,18
